x,y,author
-187.139930262,-117.198155463,nthonyTrollope
-238.735562481,30.347080968,EugeneSue
-191.396937127,-15.575887798,NathanielHawthorne
-255.424794798,17.9893551847,EdwardSEllis
-191.992002182,-135.413785874,CharlesDickens
-218.553393075,-14.8675464706,FrancesHodgsonBurne
-223.654297947,15.4306884851,WilliamDeanHowells
-189.515559752,30.9688570665,RichardFBurton
-240.292082799,34.0697082074,MarkTwainSamuelClemens
-209.690007733,-23.8336619681,JonathanSwif
