filename,positive,negative,anger_emolex,anticipation,disgust,fear,joy,sadness,surprise,trust,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achiev,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,class,epoch
hePropheticPicturesFromTwiceToldTales,3.0093,1.7021,0.463,1.457,0.4221,0.6127,0.9532,0.8034,0.64,1.4297,2.3148,1.4706,0.8306,0.1362,0.0272,0.3404,7.4346,0.0408,0.1225,0.5583,2.0289,8.8644,1.4161,0.9532,1.2663,2.8867,0.8306,3.6765,2.0969,1.5114,0.354,0.1906,0.7489,0.3676,0.1634,0.0545,0.1634,2.9412,0.8851,0.5174,1.0757,0.5583,0.1634,3.6084,4.0033,0.8306,8.1972,0.8987,4.4254,3.0229,1.4434,0.8987,0.0953,0.6127,0.0953,0.0545,0.0545,0.0,0.0,0.0272,0.0272,0.0,HawthorneNathaniel,enlightment
DrBullivantFromTheDoliverRomanceandOtherPiecesTalesandSketches,3.7519,2.0865,0.8231,1.5123,0.7083,0.9571,1.0528,0.9571,0.6891,1.876,2.2779,1.474,0.804,0.134,0.1723,0.1723,5.8767,0.0191,0.1531,0.0191,1.2251,8.2695,0.804,1.1868,1.0337,3.1394,0.8614,3.6945,1.1485,0.67,0.1914,0.1531,0.7466,0.3254,0.2106,0.0383,0.1531,3.9625,1.2251,0.67,1.5123,0.5743,0.1531,1.9908,4.2688,0.7848,8.5567,0.938,4.4602,3.2734,1.8568,0.8614,0.1914,0.9188,0.2297,0.0,0.0574,0.0,0.0,0.0383,0.0191,0.0,HawthorneNathaniel,enlightment
anglewoodTales,3.6191,2.2725,0.8475,1.7735,0.6479,1.1011,1.6999,1.0275,0.9326,1.7572,3.6191,2.2169,1.3825,0.1603,0.3354,0.4417,9.5123,0.2945,0.2765,1.2958,3.3851,7.5833,1.16,0.818,1.2974,1.9699,1.1616,2.5703,2.2496,1.0651,0.6561,0.3943,1.1338,0.5955,0.234,0.0131,0.3256,4.298,0.7624,0.5366,2.1286,0.9309,0.2961,5.3566,3.6714,0.8524,10.2387,1.5592,5.8605,2.945,0.391,0.3828,0.1243,0.306,0.0769,0.1276,0.0851,0.0098,0.0049,0.0115,0.0589,0.0,HawthorneNathaniel,enlightment
heSisterYearsFromTwiceToldTales,3.5657,1.5713,0.6849,1.5512,0.4029,0.4835,1.1886,0.7655,0.6044,1.9742,2.5584,1.7325,0.8058,0.1007,0.0806,0.2619,6.7284,0.141,0.1813,1.39,0.1813,8.8437,0.8058,1.0677,1.4907,3.2836,0.9468,3.8276,1.1483,0.5439,0.3223,0.2417,0.4633,0.2216,0.2015,0.0201,0.0201,3.9484,1.2893,0.6044,1.3094,0.7051,0.2619,2.3771,5.2579,1.4706,9.4279,1.0878,4.2909,4.2305,1.9138,0.9468,0.0201,0.9267,0.1612,0.1209,0.1007,0.0,0.0,0.0403,0.0604,0.0,HawthorneNathaniel,enlightment
heHauntedMindFromTwiceToldTales,3.1159,2.3612,0.6573,1.3389,0.5842,0.9494,0.9981,1.3632,0.6816,1.3145,2.2882,1.3389,0.9494,0.1217,0.073,0.2434,6.11,0.0243,0.1704,0.1704,0.1704,9.0312,1.1928,1.0467,1.1928,3.4567,0.8763,3.9922,1.3632,0.9494,0.073,0.3408,0.6816,0.3165,0.2678,0.0243,0.0974,3.5297,1.1441,0.5842,1.2415,0.5842,0.1461,1.0954,5.185,1.0711,9.0068,1.0711,4.6981,3.5054,1.9231,1.0467,0.1217,0.8763,0.1461,0.0974,0.1461,0.0487,0.0243,0.0487,0.0243,0.0,HawthorneNathaniel,enlightment
heThreefoldDestinyFromTwiceToldTales,3.6771,1.5067,0.5022,1.8655,0.2152,0.3408,1.3094,0.7354,0.843,1.7578,1.9552,1.3453,0.574,0.0179,0.0179,0.1973,7.3363,0.1794,0.2332,0.6457,2.4753,8.4126,1.2197,0.8969,1.2377,3.2108,0.7354,3.6233,1.2556,0.6996,0.1794,0.3767,0.5919,0.3408,0.1614,0.0,0.0897,3.3901,1.0762,0.7175,1.0942,0.5919,0.1435,3.4439,3.8027,1.0045,8.8969,1.0583,4.6816,3.3184,1.6143,0.7892,0.1256,0.7534,0.1256,0.0,0.0717,0.0,0.0,0.0359,0.0359,0.0,HawthorneNathaniel,enlightment
BudsandBirdVoicesFromMossesfromanOldMans,3.7181,1.8059,0.6374,1.6112,0.4072,0.5666,1.5758,0.9738,0.903,1.8591,2.3725,1.6643,0.7082,0.0885,0.0708,0.301,5.2585,0.0,0.2125,0.1062,0.3718,8.3746,0.9561,0.9915,1.0977,2.9745,0.9915,3.8067,1.4695,0.8499,0.2656,0.2833,0.6728,0.2833,0.2656,0.0354,0.1062,3.6827,1.3987,0.6728,1.2217,0.5489,0.1062,1.5227,5.0814,1.0446,9.7557,0.8676,4.8159,4.1962,1.5935,0.7082,0.0708,0.7436,0.3541,0.1771,0.0885,0.0,0.0177,0.0354,0.0354,0.0,HawthorneNathaniel,enlightment
ASelectParty,4.4616,1.668,0.7187,1.7494,0.3797,0.6509,1.6816,0.6781,0.8272,2.1291,2.9292,2.0749,0.8272,0.0949,0.1221,0.2848,7.0382,0.0271,0.2848,0.0814,2.1155,8.2045,1.2069,1.1663,1.0306,2.4817,1.1391,3.0648,1.0035,0.5153,0.2034,0.2577,0.5018,0.1899,0.1627,0.0136,0.1356,4.1497,1.0985,0.8408,1.4782,0.895,0.2441,3.1733,3.9327,0.8815,8.9232,0.9086,4.9091,3.3225,1.4239,0.7052,0.1221,0.6509,0.1221,0.0814,0.0949,0.0,0.0,0.0271,0.0678,0.0,HawthorneNathaniel,enlightment
heGreatStoneFaceandOtherTalesoftheWhiteMountains,4.3245,2.4584,1.0529,2.3315,0.5312,1.0247,2.1247,1.0905,0.9683,2.2563,4.0284,2.9896,0.9824,0.1739,0.0893,0.4325,7.7653,0.235,0.2256,0.4842,2.7545,7.5303,1.3914,0.7662,1.2598,2.0071,1.067,2.5665,2.4349,1.3256,0.5547,0.5547,1.0247,0.6722,0.2303,0.047,0.1269,4.4608,1.1375,0.5547,1.5277,1.382,0.188,5.5796,3.1682,0.8038,10.7455,1.3068,6.1531,3.4267,0.7427,0.4795,0.2773,0.3901,0.2914,0.1551,0.0705,0.0141,0.0,0.0141,0.0423,0.0,HawthorneNathaniel,enlightment
ABellsBiography,3.3347,1.7785,0.7882,1.536,0.384,0.8892,1.0307,0.9499,0.6871,1.8189,1.92,1.2328,0.6669,0.0606,0.0808,0.1819,6.831,0.1011,0.2021,0.3032,1.1318,7.8213,0.9499,1.1116,1.0914,3.0517,0.7074,3.3953,1.1924,0.3234,0.5457,0.2021,0.4244,0.2223,0.1213,0.0404,0.0404,4.2643,1.4956,0.5659,1.5158,0.7074,0.2021,2.5263,4.3452,0.9701,8.0437,1.1116,4.2643,2.9709,1.7583,0.8084,0.0808,0.7478,0.485,0.2829,0.1011,0.0202,0.0202,0.0404,0.0202,0.0,HawthorneNathaniel,enlightment
pg215.txt,3.1001,3.5314,1.2599,1.1916,0.8161,2.0946,0.9279,1.1978,1.3157,1.3468,2.9946,1.3157,1.6602,0.2452,0.4158,0.5337,7.9752,0.0745,0.1365,0.2514,4.5648,5.9798,0.8875,0.7851,0.7168,1.2227,0.7944,2.3957,2.0047,0.7634,0.4469,0.5865,1.9178,1.1885,0.4593,0.0403,0.3041,3.879,0.5586,0.841,1.7471,0.7758,0.2979,6.3677,1.9829,0.3879,11.9038,1.9953,6.6967,3.5004,1.0923,0.5617,0.0931,1.0582,0.0714,0.1831,0.1179,0.0248,0.0186,0.031,0.0434,0.0,JackLondon,unidentified
pg1161.txt,2.7982,2.6883,1.0736,1.5554,0.9072,1.4324,1.1314,1.2125,0.7061,1.5785,2.7823,1.3977,1.3557,0.2026,0.3169,0.4688,8.1097,0.162,0.1794,0.586,4.9584,5.9148,1.0345,0.7032,0.7162,1.1155,1.0273,2.043,2.1703,0.8276,0.4572,0.6091,1.8867,1.2385,0.353,0.0535,0.3458,3.6244,0.5903,0.5339,1.784,0.6077,0.3096,5.7875,2.0386,0.408,10.3957,1.3687,6.1492,3.0862,0.7697,0.3921,0.1461,0.3053,0.1548,0.1707,0.1563,0.0694,0.0058,0.0289,0.0521,0.0,JackLondon,unidentified
pg14449.txt,2.6682,2.3121,0.9913,1.2347,0.5669,1.2198,0.923,1.024,0.7628,1.4335,2.5584,1.2347,1.3089,0.2167,0.2167,0.4838,7.3428,0.0623,0.1692,0.4036,3.2707,6.1259,0.9171,0.7539,0.8696,1.5285,0.9052,2.2349,1.8134,0.7924,0.4422,0.5135,1.0536,0.65,0.2137,0.0148,0.1989,5.0367,0.9676,0.8429,2.1844,0.9646,0.3294,5.4225,3.7545,0.6797,12.3438,2.1607,7.2241,3.2855,1.1427,0.4808,0.0772,0.3977,0.0623,0.1217,0.095,0.0148,0.0059,0.0237,0.0475,0.003,JackLondon,unidentified
pg1655.txt,2.4955,2.1215,0.8024,1.2553,0.5243,1.0467,0.9941,1.0016,0.6258,1.4375,2.627,1.4075,1.1914,0.1936,0.2593,0.4059,8.4429,0.1372,0.1015,1.5465,3.1344,5.4645,0.7968,0.6182,0.7517,1.1482,0.6727,2.3095,2.114,0.8794,0.4792,0.6408,1.3549,0.9039,0.2631,0.077,0.1917,3.7808,0.7949,0.6239,1.725,0.7066,0.218,5.0474,3.4351,0.7197,10.0703,1.6687,5.8479,2.7529,0.7892,0.4172,0.1259,0.4397,0.1804,0.124,0.1391,0.062,0.0056,0.0225,0.0489,0.0,JackLondon,unidentified
pg318.txt,2.8019,2.3712,0.9013,1.519,0.8062,0.9519,1.194,0.9396,0.7403,1.5834,2.805,1.5696,1.2048,0.164,0.2974,0.3679,4.7899,0.0981,0.1625,0.3249,1.3488,6.6676,1.2048,0.7603,0.9733,1.2599,1.1373,2.1444,1.2385,0.5917,0.2468,0.3035,1.988,0.561,0.5104,0.0383,0.9641,3.8979,0.9289,0.7587,1.3473,0.8905,0.2744,6.0836,3.3997,0.5028,10.1868,1.2538,5.5149,3.5361,1.1465,1.076,0.1303,0.6959,0.1088,0.1364,0.095,0.0138,0.0031,0.0245,0.0536,0.0,JackLondon,unidentified
pg310.txt,2.3759,2.4997,1.0912,1.3879,0.6991,1.4808,0.8926,1.148,0.8178,1.2666,2.6081,1.1402,1.4421,0.3018,0.3766,0.3921,7.6127,0.2141,0.0929,0.9029,2.2418,6.6944,1.1635,0.761,0.8023,1.3543,0.988,2.3837,1.9193,0.7868,0.4205,0.6088,1.3208,0.8229,0.307,0.0129,0.227,5.5541,2.4224,0.8281,1.5169,0.6888,0.3483,7.0581,2.6777,0.4282,12.4884,1.8471,6.9317,4.0115,0.792,0.5469,0.0748,0.2399,0.031,0.1187,0.1083,0.0155,0.0103,0.031,0.049,0.0026,JackLondon,unidentified
pg10736.txt,2.5696,2.3862,0.9414,1.5263,0.5217,1.2593,1.1371,1.2247,0.8008,1.3938,2.8447,1.4488,1.3816,0.214,0.3057,0.5115,8.7276,0.1814,0.11,1.1513,3.4397,5.2757,0.8599,0.6521,0.6439,0.9292,0.7336,2.054,2.5839,1.1167,0.6989,0.65,1.7382,1.1941,0.2853,0.0387,0.2955,3.7943,0.9537,0.542,1.6587,0.6235,0.2099,5.4469,3.7617,0.6908,10.4699,1.6974,5.8585,3.2115,0.6725,0.5074,0.0917,0.2832,0.0734,0.2242,0.2608,0.0265,0.1263,0.0285,0.0795,0.0,JackLondon,unidentified
pg1162.txt,2.5309,2.4206,1.0823,1.3744,0.6721,1.35,0.9661,1.2064,0.6213,1.5512,2.5417,1.2415,1.2855,0.1739,0.3614,0.3995,6.3972,0.2032,0.1104,0.6418,1.9185,5.9869,1.136,0.633,0.8342,1.1351,1.0911,1.94,1.603,0.7072,0.3898,0.4103,1.4984,0.8528,0.3673,0.0352,0.2979,4.0919,1.1419,0.5968,1.6538,0.6388,0.2872,5.8765,3.5771,0.6496,10.2869,1.2757,5.6783,3.4628,0.7717,0.3575,0.1094,0.253,0.2852,0.2667,0.0918,0.0234,0.0039,0.0205,0.044,0.0,JackLondon,unidentified
pg746.txt,2.5514,1.8728,0.7756,1.3962,0.4956,0.9803,1.1325,0.8299,0.8308,1.408,2.7561,1.6662,1.07,0.1993,0.2265,0.3588,8.3518,0.1214,0.1096,0.9676,3.8434,6.4862,1.0292,0.7176,0.9296,1.2902,1.1543,2.2334,1.697,0.7747,0.3216,0.5264,1.1996,0.6125,0.2555,0.048,0.3379,3.8234,0.5554,0.6886,1.7532,0.8662,0.2827,6.026,3.6613,0.636,11.223,1.735,6.4663,3.211,0.8417,0.6949,0.1359,0.6578,0.1123,0.0969,0.1033,0.0281,0.0045,0.0172,0.0553,0.0,JackLondon,unidentified
pg710.txt,2.3299,2.2338,0.8507,1.3651,0.6065,1.167,1.0148,1.171,0.5845,1.3451,2.6001,1.265,1.3171,0.2282,0.2962,0.4564,9.5098,0.1081,0.0901,1.267,4.5818,5.9349,0.9528,0.7306,0.6966,1.1269,0.9228,2.2338,2.6201,1.257,0.5484,0.6766,1.7674,0.9988,0.3743,0.026,0.4103,3.4128,0.6425,0.5925,1.4652,0.7106,0.2262,4.9421,4.9481,0.7286,10.8449,1.9536,5.7867,3.3728,0.7246,0.5144,0.0941,0.3123,0.06,0.2382,0.1041,0.02,0.014,0.02,0.048,0.002,JackLondon,unidentified
pg31422.txt,4.2831,2.1884,0.8324,1.8414,0.6024,1.2624,2.2182,1.0303,0.8451,2.2076,4.0915,2.9271,1.1134,0.1405,0.2214,0.4194,8.513,0.2597,0.2342,1.2539,1.2602,8.3427,1.6498,1.1964,1.1623,1.4944,1.2177,2.9377,1.5732,0.6131,0.4236,0.4428,1.3411,0.4449,0.5301,0.2278,0.1511,5.0729,2.1841,0.8153,1.4816,0.6621,0.2853,2.5311,6.9995,0.8132,7.8127,0.9175,4.4811,2.4502,1.0985,0.4492,0.1086,0.2597,0.2874,0.1235,0.1086,0.0064,0.0,0.0277,0.0745,0.0,JackLondon,unidentified
pg1163.txt,2.497,2.3558,0.9773,1.4039,0.7161,1.2429,1.0776,1.1511,0.7839,1.346,2.7428,1.3813,1.3304,0.2034,0.3531,0.387,9.2791,0.1003,0.1539,1.5423,3.4857,6.2398,1.0042,0.709,1.0847,1.3474,0.966,2.086,2.055,1.0254,0.5508,0.411,1.096,0.637,0.2528,0.0438,0.1878,3.7907,0.7401,0.6313,1.5056,0.8107,0.339,5.6353,4.3514,0.7754,10.2706,1.8064,5.7723,2.8883,0.7952,0.4152,0.137,0.3842,0.0975,0.1299,0.1271,0.0395,0.0042,0.024,0.0593,0.0,JackLondon,unidentified
pg1730.txt,2.7299,2.5128,1.0319,1.2711,0.6904,1.2986,0.976,1.1173,0.6714,1.4693,2.6161,1.3144,1.268,0.2182,0.3563,0.3563,7.7144,0.0706,0.0991,0.4258,4.0706,6.0522,0.9686,0.7252,0.859,1.2617,0.995,2.0943,1.8382,0.7146,0.4501,0.507,1.5631,0.9602,0.3499,0.0369,0.274,3.7428,0.5565,0.6145,1.7286,0.8053,0.2972,4.8738,3.591,0.6018,10.5254,1.4303,6.2155,3.0988,0.7979,0.507,0.156,0.4627,0.1096,0.1117,0.1686,0.0569,0.0042,0.0495,0.0906,0.0011,JackLondon,unidentified
pg22104.txt,2.7786,1.3666,0.59,1.5986,0.2471,0.8623,1.5582,0.585,1.0741,1.9566,2.1684,1.2557,0.9128,0.0252,0.5144,0.2168,5.3656,0.2622,0.1109,0.2269,1.7499,3.4443,0.4236,0.5648,0.2521,0.9128,0.6909,1.3212,1.7247,0.9178,0.4034,0.3076,0.9329,0.4639,0.2168,0.0403,0.2925,4.1856,1.6036,0.6051,1.528,0.4539,0.1009,1.4221,3.5804,0.7413,6.6717,0.7816,3.3132,2.6525,1.1296,0.5093,0.0303,0.353,0.0303,0.6102,0.121,0.0,0.0403,0.0403,0.0403,0.0,JackLondon,unidentified
788,2.6893,2.0886,0.7314,1.317,0.6987,1.0305,0.9148,1.0154,0.5957,1.3999,2.35,1.2391,1.0933,0.1483,0.2513,0.3695,6.8061,0.1307,0.1332,0.8973,2.9255,5.5419,0.945,0.6434,0.7942,1.4024,0.8973,1.7995,1.8272,0.8344,0.4499,0.4298,1.5934,0.9174,0.3695,0.0377,0.4248,3.9635,0.7339,0.7238,1.6437,0.7992,0.3091,5.0945,2.7747,0.4826,10.5811,1.4703,6.0269,3.2975,0.9375,0.4549,0.1106,0.475,0.1282,0.1734,0.1232,0.0377,0.0201,0.0251,0.0377,0.0025,JackLondon,unidentified
pg1029.txt,2.6517,2.6059,1.141,1.4332,0.7534,1.3676,1.0813,1.0992,0.8408,1.6121,2.8942,1.465,1.4073,0.2187,0.4353,0.3618,9.0244,0.1113,0.1491,1.0098,4.2737,6.6212,1.0734,0.6878,0.9919,1.306,1.1012,2.3416,2.3873,1.0575,0.7096,0.5268,1.2702,0.8587,0.2286,0.0378,0.2008,3.8562,0.5009,0.7613,1.8188,0.8329,0.32,6.2893,4.2299,0.7156,10.4993,1.6538,6.0448,3.0254,0.8965,0.4751,0.163,0.4154,0.1213,0.1312,0.0954,0.0239,0.0179,0.0278,0.0258,0.0,JackLondon,unidentified
pg1669.txt,2.6283,2.0501,0.7856,1.2499,0.4906,1.1068,0.8527,0.8703,0.622,1.3025,2.3684,1.2791,1.0747,0.1869,0.3475,0.2511,6.34,0.1051,0.1197,0.771,1.5594,6.3663,0.9491,0.8615,0.9287,1.3404,1.0367,2.2895,1.4309,0.733,0.3066,0.3271,0.917,0.4497,0.2687,0.0292,0.184,4.2753,1.2966,0.8118,1.5857,0.6279,0.219,3.6533,5.315,0.8965,10.4722,1.7288,5.8611,3.113,1.0601,0.4176,0.1197,0.3621,0.0905,0.2132,0.1227,0.0204,0.0058,0.0321,0.0642,0.0,JackLondon,unidentified
pg1688.txt,2.8402,2.4216,0.8528,1.1174,0.8295,1.231,1.0738,1.2948,0.6116,1.7259,2.42,1.2046,1.1703,0.1587,0.2334,0.3315,6.7542,0.2879,0.1058,0.8233,1.9142,5.8687,0.8731,0.6505,0.8342,1.3664,0.9291,2.185,1.2606,0.6116,0.291,0.2864,1.5127,0.5758,0.4918,0.0265,0.4622,4.258,0.7735,0.8482,1.9967,0.7392,0.2537,3.9654,4.6813,0.6132,9.8263,1.2232,5.7893,2.9305,1.1921,0.4575,0.386,0.6957,0.1541,0.1821,0.0996,0.014,0.014,0.0296,0.0451,0.0,JackLondon,unidentified
pg2416.txt,2.5945,1.9652,0.7656,1.1779,0.561,1.0942,0.9578,0.9392,0.561,1.4848,2.3837,1.4259,0.9423,0.1767,0.155,0.2883,8.7846,0.279,0.124,0.8865,3.9118,6.2986,1.1035,0.6509,0.9361,1.3329,0.9392,2.2628,1.8288,0.8276,0.496,0.4061,1.2275,0.6509,0.3937,0.0217,0.1829,3.9924,0.84,0.7501,1.7885,0.5765,0.2449,6.4257,3.574,0.5363,9.6091,1.3825,5.5113,2.8982,1.2554,0.6013,0.1581,0.561,0.1426,0.124,0.3565,0.0155,0.0031,0.2666,0.2883,0.0,JackLondon,unidentified
pg1160.txt,2.8374,2.0952,0.9934,1.2103,0.4967,1.0904,1.0162,0.7936,0.7365,1.3302,2.9288,1.6442,1.2446,0.2969,0.3197,0.314,9.8196,0.0913,0.2284,2.5691,3.8993,6.7367,1.256,0.7707,0.8221,1.57,1.0105,2.3807,2.2151,1.0733,0.4739,0.6166,1.6385,1.1475,0.274,0.0571,0.2227,3.6024,0.5823,0.8449,1.3702,0.7251,0.2969,5.8004,2.9573,0.4681,9.654,1.4216,5.6577,2.8831,1.433,0.4739,0.1713,0.5481,0.0685,0.04,0.1313,0.0171,0.0057,0.0514,0.0571,0.0,JackLondon,unidentified
AHazardofNewFortunesComp,3.1429,1.7252,0.7063,1.5027,0.5269,0.8682,1.3902,0.907,0.827,1.7384,3.2998,2.0384,1.2064,0.1938,0.1831,0.4738,10.9964,0.28,0.1119,1.7234,3.9536,9.5981,1.8509,0.9326,1.9553,2.3459,1.1289,3.0729,2.164,0.8314,0.8439,0.4263,0.6363,0.2907,0.1888,0.0219,0.1413,4.0655,1.0401,0.6807,1.2839,1.0833,0.3157,5.6889,6.2208,0.8682,9.7375,1.3833,5.2182,3.2948,0.6745,0.4463,0.2457,0.4044,0.1319,0.0719,0.1538,0.0131,0.0081,0.0413,0.1225,0.0,HowellsWilliamDean,romantic
ALittleSwissSojourn,3.7794,1.9095,0.7457,1.6609,0.4463,0.7683,1.5931,0.8531,0.6214,2.0507,3.062,2.062,0.983,0.0847,0.2542,0.339,6.8075,0.1356,0.1186,0.4802,1.2598,7.3273,1.0225,0.966,0.8813,2.1129,1.0395,2.7456,1.514,0.7514,0.3277,0.3446,0.6497,0.2203,0.1299,0.0226,0.2881,5.0393,1.8078,0.8644,1.7796,0.6949,0.2034,4.3613,3.723,0.531,10.3327,1.1412,6.3273,2.9377,1.7287,0.5819,0.1808,0.6892,0.3333,0.096,0.1243,0.0113,0.0,0.0508,0.0621,0.0,HowellsWilliamDean,romantic
AModernInstanc,2.8673,1.9053,0.7821,1.6414,0.5588,0.9365,1.4471,0.9971,0.871,1.7785,3.455,2.0976,1.3134,0.2308,0.2184,0.5023,12.0913,0.2825,0.1537,2.5627,4.2668,8.8581,1.7055,0.9041,1.7193,2.1754,1.0998,2.8204,2.2898,0.8579,0.8593,0.5382,0.7918,0.4072,0.1998,0.0262,0.173,3.9216,0.829,0.636,1.4305,1.0267,0.3439,6.1776,5.6897,0.9675,10.638,1.6903,5.8386,3.3103,0.7415,0.4472,0.2901,0.3893,0.1695,0.0544,0.1061,0.0117,0.0021,0.0138,0.0772,0.0014,HowellsWilliamDean,romantic
AChanceAcquaintanc,3.154,2.0295,0.6687,1.5519,0.5279,0.9418,1.4463,1.1413,0.781,1.7379,3.4155,2.1099,1.2452,0.243,0.176,0.4793,9.2375,0.2212,0.1173,2.249,2.5842,8.4532,1.5033,0.8279,1.448,2.2608,1.0675,2.9261,2.1887,1.0709,0.6368,0.4005,0.7927,0.3922,0.243,0.0804,0.1324,3.6551,0.8681,0.5966,1.4228,0.7072,0.3536,5.2656,4.7964,0.7726,10.3251,1.3575,5.9293,3.1892,0.7759,0.4894,0.2531,0.3436,0.2095,0.0754,0.1458,0.0285,0.0101,0.0318,0.0754,0.0,HowellsWilliamDean,romantic
AnnieKilburnaNov,3.1595,1.7693,0.6678,1.5365,0.5042,0.8355,1.3849,0.9046,0.8115,1.7946,3.4309,2.0953,1.2745,0.1982,0.1823,0.5308,11.2746,0.2528,0.1317,2.8948,2.3866,9.0356,1.8239,0.9006,1.6855,2.1578,1.1268,2.9134,2.4651,0.7955,1.0909,0.4896,0.7437,0.3246,0.2621,0.02,0.1503,4.434,1.1561,0.6545,1.5419,1.0856,0.3352,5.5861,6.4162,0.9938,9.6077,1.4807,5.5728,2.7432,0.7197,0.463,0.2581,0.3552,0.2714,0.0585,0.1117,0.004,0.0027,0.0253,0.0798,0.0013,HowellsWilliamDean,romantic
AFearfulResponsibilityandOtherStories,3.135,2.0092,0.7365,1.6829,0.4961,0.9998,1.3738,1.1372,0.788,1.8184,3.5242,2.1294,1.3605,0.2252,0.2003,0.5839,10.9561,0.2404,0.1546,2.2115,3.4975,9.0729,1.8012,0.9426,1.6696,2.179,1.2708,2.8182,2.1141,0.8701,0.7632,0.4255,0.6831,0.2881,0.2194,0.0439,0.1584,3.9554,1.0418,0.6888,1.3318,0.8911,0.3454,5.4456,5.686,0.975,9.7712,1.494,5.2434,3.2017,0.9807,0.4675,0.1813,0.3492,0.103,0.0687,0.1069,0.0114,0.0038,0.0267,0.0649,0.0,HowellsWilliamDean,romantic
AForegoneConclusion,3.4313,2.1573,0.7163,1.4861,0.5143,0.9701,1.4043,1.2139,0.7481,2.1473,3.5198,1.9369,1.5395,0.2555,0.2221,0.6629,10.5378,0.1686,0.1403,1.7933,3.4497,8.8046,1.7716,0.8482,1.6564,2.1373,1.1171,2.8202,2.3911,1.062,0.8215,0.4208,0.8282,0.4508,0.1954,0.0367,0.1603,3.6985,0.8866,0.546,1.4193,0.6929,0.4141,5.2681,5.9076,0.885,9.6211,1.4727,5.2297,3.0907,0.5727,0.4408,0.2438,0.3072,0.4141,0.0968,0.1119,0.0083,0.0033,0.0234,0.0768,0.0,HowellsWilliamDean,romantic
ABelatedGuestfromLiteraryFriendsandAcquaintanc,3.866,1.6417,0.4899,1.5888,0.384,0.6752,1.6285,0.7944,0.8473,1.7741,3.2967,2.3699,0.8871,0.1589,0.0662,0.3045,7.7055,0.0794,0.278,0.0662,3.6145,8.9766,0.9665,1.0062,1.3769,3.1378,1.0724,3.7336,0.993,0.4237,0.3045,0.1721,0.6355,0.1721,0.2251,0.053,0.1986,3.8263,0.8473,0.8738,1.3505,0.8738,0.3707,4.2235,3.8263,0.9135,8.9104,1.1519,4.528,3.4026,1.7476,0.4766,0.1192,0.6487,0.1059,0.053,0.1589,0.0,0.0,0.0794,0.0794,0.0,HowellsWilliamDean,romantic
ABoysTown,2.7484,2.584,0.8387,1.6462,1.0918,1.0305,1.2327,0.9666,0.72,1.971,3.1671,1.8497,1.277,0.2191,0.3,0.3744,10.2553,0.3939,0.2674,0.2778,5.2646,9.5248,1.2222,0.857,1.7218,2.6493,1.2509,3.5206,1.5666,0.7253,0.3,0.4774,0.9222,0.377,0.2504,0.0287,0.2752,3.835,0.5348,0.6105,1.6579,1.0279,0.27,6.9042,3.4123,0.6874,11.3379,1.6801,6.1607,3.6015,0.81,0.6052,0.2883,0.2987,0.1409,0.12,0.0965,0.0183,0.0026,0.0209,0.0548,0.0,HowellsWilliamDean,romantic
ALikelyStory,2.5405,1.1282,0.4596,1.1115,0.3009,0.4346,0.7187,0.5014,0.4179,1.2536,2.7327,1.7215,0.9945,0.0418,0.1504,0.5432,7.4628,0.0669,0.1588,1.1616,0.9945,8.0645,1.2285,1.0697,1.1533,2.5322,1.0864,2.7411,1.1198,0.5599,0.2173,0.3092,0.4179,0.0752,0.1003,0.0167,0.234,3.6353,0.8691,0.936,1.2285,0.7271,0.2173,1.9305,7.3709,1.2536,6.5435,1.1616,3.7523,1.8135,2.2146,0.5014,0.0752,0.6351,0.0585,0.0501,0.117,0.0,0.0,0.0669,0.0501,0.0,HowellsWilliamDean,romantic
heEnchantedIslandofYew,5.2291,1.557,0.6757,0.9988,0.2644,0.2938,0.8519,0.47,0.235,2.3796,2.2033,1.6745,0.4994,0.0,0.1175,0.0588,5.0823,0.0,0.2644,0.0,0.1763,9.6945,0.8813,1.557,0.8813,4.4066,1.0576,4.2597,0.3525,0.2056,0.0881,0.0294,0.1175,0.0,0.0588,0.0,0.0588,5.9048,1.0576,2.2327,2.027,0.7344,0.1763,1.1751,5.8461,0.8519,6.4924,0.6463,4.7591,1.2926,6.0517,0.47,0.0294,1.7039,0.0294,0.0,0.2644,0.0,0.0,0.2644,0.0,0.0,BaumLFrankLymanFrank,unidentified
AKidnappedSantaClaus,3.1752,2.7972,1.6065,1.701,1.1151,1.512,1.4931,1.4553,1.0017,1.8333,3.8745,2.3247,1.5309,0.1134,0.4347,0.4158,8.4672,0.0189,0.3024,0.0756,2.0034,8.1837,1.0584,1.2096,1.3041,2.5704,1.0773,2.7972,1.2474,0.5481,0.4725,0.1701,0.4914,0.3591,0.1512,0.0,0.0189,4.2147,1.0584,0.7182,1.6443,0.756,0.3213,3.1941,4.8951,1.0017,8.8263,1.2096,4.4604,3.4965,1.512,0.6615,0.0945,0.6048,0.3591,0.0945,0.1323,0.0,0.0,0.0378,0.0945,0.0,BaumLFrankLymanFrank,unidentified
