filename,positive,negative,anger_emolex,anticipation,disgust,fear,joy,sadness,surprise,trust,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achiev,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,class,epoch
CobwebsfromanEmptySku,3.2743,2.5463,1.0506,1.4655,0.7846,1.1826,1.16,1.2373,0.7488,1.8974,2.9744,1.7824,1.1543,0.1603,0.2244,0.3452,7.8538,0.1339,0.1433,0.7941,2.9952,7.5218,1.2976,0.745,1.2656,1.7729,1.0638,2.4821,1.6862,0.6356,0.6205,0.3452,1.0525,0.5225,0.2546,0.0377,0.3037,3.8232,0.6997,0.7809,1.5221,0.8714,0.2942,4.6813,4.1231,0.8676,9.208,1.2844,5.1151,2.9499,1.0204,0.3357,0.1301,0.3602,0.166,0.1603,0.1151,0.0264,0.0075,0.0264,0.0547,0.0,BierceAmbrose,romantic
AnOccurrenceatOwlCreekBridg,2.6217,2.1348,0.9176,1.236,0.4869,1.1049,0.8614,1.1798,0.5056,1.4232,2.0974,1.4232,0.6367,0.0562,0.0562,0.1498,7.6217,0.0936,0.1873,0.2434,3.9513,6.573,1.0487,0.7303,0.8801,2.191,0.7678,2.5655,2.5094,1.2734,0.4682,0.7303,1.5169,0.9363,0.3745,0.0,0.206,3.2397,0.6742,0.4682,1.6292,0.5618,0.1498,4.4757,2.9775,0.7678,9.3258,1.4794,5.7303,2.4157,1.5169,0.3558,0.0936,0.5805,0.0749,0.1124,0.1124,0.0187,0.0,0.0562,0.0375,0.0,BierceAmbrose,romantic
ASonoftheGodsandAHorsemanintheSky,3.5436,2.1236,1.0178,1.3446,0.5403,1.2943,0.8545,0.8545,0.7791,1.6461,2.4127,1.3948,1.0178,0.1005,0.377,0.2262,7.615,0.1382,0.1131,0.0377,3.6441,8.3564,1.0932,0.9299,1.244,2.4881,1.1058,3.4431,1.6838,0.9047,0.2639,0.3644,0.8922,0.6534,0.1759,0.0251,0.0628,3.9834,1.1686,0.666,1.7592,0.5026,0.1634,2.5886,5.0013,0.8922,10.2538,1.5079,6.1573,2.953,1.533,0.6409,0.0126,0.5278,0.1131,0.2011,0.1005,0.0377,0.0,0.0251,0.0377,0.0,BierceAmbrose,romantic
heDamnedThing1898FromIntheMidstofLif,3.4945,2.3749,0.916,0.9669,0.5259,0.8482,0.6277,0.6955,0.5768,1.883,2.324,1.2553,1.0348,0.1527,0.3902,0.1696,5.8015,0.0,0.2205,0.0,1.4928,8.9907,1.0178,1.0008,1.1535,3.4775,1.2214,3.732,1.6115,0.8482,0.4411,0.2545,0.6277,0.4411,0.1187,0.0848,0.0509,4.4105,0.916,1.4419,1.6964,0.475,0.1696,3.6811,5.0382,0.7634,8.7362,1.2723,5.598,2.0526,3.6472,0.458,0.1187,1.1026,0.0848,0.3223,0.3053,0.1527,0.0,0.1527,0.0,0.0,BierceAmbrose,romantic
CanSuchThingsB,2.8381,2.6598,0.9987,1.4624,0.7286,1.5065,1.0208,1.4607,0.8356,1.6424,2.726,1.3774,1.2942,0.2904,0.2174,0.4229,6.7021,0.1257,0.1393,0.4263,2.8211,7.3866,1.4539,0.6047,0.997,1.8564,1.1023,2.5783,2.3405,1.2569,0.535,0.4263,1.1006,0.7167,0.2582,0.0408,0.1274,3.0691,0.7796,0.4875,1.2195,0.501,0.2972,5.7764,3.3171,0.6726,10.2943,1.4726,5.9531,3.0402,0.6692,0.3431,0.2972,0.2106,0.2038,0.2785,0.0798,0.0221,0.0051,0.0238,0.0374,0.0,BierceAmbrose,romantic
pg34882.txt,3.6176,2.0518,0.7927,1.5835,0.5236,0.9949,1.4316,1.058,0.8647,2.0706,3.7664,2.3427,1.3883,0.2071,0.1992,0.6103,9.7227,0.2307,0.2692,0.9298,3.4667,8.8442,1.5155,0.8913,1.408,2.1415,1.4543,2.8327,2.249,0.7089,1.0944,0.3717,0.7395,0.3116,0.2721,0.0187,0.1509,3.9715,0.9564,0.632,1.5647,0.8617,0.3066,4.9891,5.9178,0.8686,8.7634,1.2532,4.8323,2.7962,0.8263,0.422,0.1745,0.3973,0.1006,0.0503,0.1094,0.0069,0.0,0.0177,0.0848,0.0,CharlesJamesLever,unidentified
pg35441.txt,3.3281,2.222,0.8765,1.4551,0.7061,1.0597,1.2991,1.0591,0.7293,2.0267,3.4058,2.182,1.1983,0.1849,0.2151,0.3791,7.8962,0.2099,0.2006,0.7188,1.7756,8.6591,1.4452,0.8006,1.3716,2.1553,1.604,2.8684,1.8614,0.6545,0.8214,0.3096,0.7241,0.291,0.2516,0.0272,0.1803,4.4568,1.4116,0.5959,1.5907,0.8516,0.3252,3.4898,6.2811,0.8093,8.7356,1.12,4.9965,2.7217,0.7565,0.433,0.2197,0.4255,0.2435,0.058,0.1246,0.0064,0.0017,0.0145,0.102,0.0,CharlesJamesLever,unidentified
pg32692.txt,3.2766,2.2542,0.8715,1.5343,0.6416,1.1148,1.2706,1.1049,0.7855,1.8255,3.5593,2.166,1.3467,0.2017,0.2461,0.4929,7.4874,0.1044,0.172,0.7453,2.0046,8.4879,1.4941,0.8595,1.382,2.0828,1.3418,2.6913,2.1773,0.7016,0.9914,0.3913,0.82,0.3406,0.275,0.0296,0.196,3.8837,0.8574,0.7157,1.4948,0.8278,0.325,4.8172,5.0196,0.8496,9.0393,1.2325,5.2283,2.6892,0.7777,0.4047,0.1826,0.3843,0.1396,0.0663,0.1079,0.0092,0.0028,0.0183,0.0776,0.0,CharlesJamesLever,unidentified
pg33556.txt,3.5696,2.363,0.9059,1.4848,0.6801,1.1238,1.3291,1.1776,0.799,1.9957,3.6553,2.3156,1.3085,0.167,0.201,0.5145,8.9156,0.0736,0.2229,0.4558,3.0367,8.1456,1.368,0.7799,1.2873,1.9674,1.5003,2.644,2.225,0.6957,1.1146,0.339,0.8499,0.317,0.3758,0.0354,0.143,4.1117,0.9427,0.7183,1.6992,0.8422,0.3078,4.3042,5.6871,0.8415,8.75,1.1656,4.9496,2.7763,0.8726,0.3623,0.1734,0.3595,0.1805,0.0552,0.1323,0.0028,0.0078,0.0262,0.0955,0.0,CharlesJamesLever,unidentified
pg32561.txt,3.4099,2.177,0.8149,1.5832,0.6582,1.003,1.311,0.9964,0.7743,2.1397,3.5732,2.3002,1.2395,0.2068,0.2035,0.43,9.9103,0.2227,0.1996,0.7649,2.937,9.1206,1.631,0.8595,1.5826,2.1666,1.4473,2.9826,2.3723,0.7198,1.2417,0.3387,0.683,0.2293,0.2788,0.0143,0.1765,4.1968,1.1559,0.623,1.5353,0.893,0.3558,4.6428,6.893,1.0168,8.3771,1.1867,4.7396,2.551,0.8353,0.3904,0.1743,0.4251,0.2744,0.0484,0.1226,0.0038,0.0016,0.0319,0.0852,0.0,CharlesJamesLever,unidentified
